id;label;Latitude;Longitude;status
958;"Soyo";-6.141086;12.371764;healthy
959;"Lubango";-14.924733;13.575022;healthy
960;"Luena";-11.768086;19.897672;healthy
967;"Port Gentil";-0.711739;8.754383;healthy
970;"Libreville";0.4586;9.412283;healthy
973;"Sao Tome";0.378175;6.712153;healthy
974;"Beira";-19.796419;34.907556;healthy
976;"Inhambane";-23.876431;35.408544;healthy
977;"Lichinga";-13.273986;35.266262;healthy
979;"Maputo";-25.920836;32.572606;healthy
984;"Nampula";-15.105611;39.2818;healthy
985;"Pemba";-12.986753;40.522492;healthy
986;"Quelimane";-17.8555;36.869106;healthy
988;"Tete";-16.104817;33.640181;healthy
990;"Vilankulu";-22.018431;35.313297;healthy
994;"Mahe";-4.674342;55.521839;healthy
995;"Praslin";-4.319292;55.691417;healthy
999;"N'djamena";12.133689;15.034019;healthy
1001;"Bulawayo";-20.017431;28.617869;healthy
1004;"Victoria Falls";-18.095881;25.839006;healthy
1005;"Harare";-17.931806;31.092847;healthy
1013;"Blantyre";-15.679053;34.974014;healthy
1016;"Lilongwe";-13.789378;33.781;healthy
1018;"Maseru";-29.462256;27.552503;healthy
1020;"Kinshasa";-4.38575;15.444569;healthy
1026;"Mbandaka";0.0226;18.288744;healthy
1028;"Gemena";3.235369;19.771258;healthy
1031;"Kisangani";0.5175;25.155014;healthy
1032;"Isiro";2.827606;27.588253;healthy
1033;"Bunia";1.565719;30.220833;healthy
1035;"Bukavu/kavumu";-2.308978;28.808803;healthy
1036;"Goma";-1.670814;29.238464;healthy
1037;"Kindu";-2.919178;25.915361;healthy
1038;"Lubumashi";-11.591333;27.530889;healthy
1042;"Kananga";-5.900055;22.469166;healthy
1043;"Mbuji-mayi";-6.121236;23.569008;healthy
1044;"Bamako";12.533544;-7.949944;healthy
1050;"Banjul";13.337961;-16.652206;healthy
1051;"Fuerteventura";28.452717;-13.863761;healthy
1052;"Hierro";27.814847;-17.887056;healthy
1053;"Santa Cruz De La Palma";28.626478;-17.755611;healthy
1054;"Gran Canaria";27.931886;-15.386586;healthy
1055;"Las Palmas";28.945464;-13.605225;healthy
1056;"Tenerife";28.044475;-16.572489;healthy
1057;"Tenerife";28.482653;-16.341536;healthy
1058;"Melilla";35.279817;-2.956256;healthy
1059;"Freetown";8.616444;-13.195489;healthy
1062;"Monrovia";6.289061;-10.758722;healthy
1063;"Monrovia";6.233789;-10.362311;healthy
1064;"Agadir";30.381353;-9.546311;healthy
1065;"Tan Tan";28.448194;-11.161347;healthy
1066;"Fes";33.927261;-4.977958;healthy
1070;"Oujda";34.78715;-1.923986;healthy
1072;"Rabat";34.051467;-6.751519;healthy
1074;"Casablanca";33.367467;-7.589967;healthy
1075;"Marrakech";31.606886;-8.0363;healthy
1077;"Ouarzazate";30.939053;-6.909431;healthy
1078;"Al Hociema";35.177103;-3.839525;healthy
1079;"Tetouan";35.594333;-5.320019;healthy
1080;"Tanger";35.726917;-5.916889;healthy
1081;"Ziguinchor";12.555617;-16.281783;healthy
1082;"Cap Skiring";12.4102;-16.746125;healthy
1084;"Dakar";14.739708;-17.490225;healthy
1094;"Nouakschott";18.097856;-15.947956;healthy
1097;"Nouadhibou";20.933067;-17.029956;healthy
1102;"Amilcar Cabral";16.741389;-22.949444;healthy
